CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1151,Intel Z170,Yes,Micro ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200,ASRock Z170M Pro4S Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[96.88, 96.99, 94.99, 94.99, 134.99]",Yes,No
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z170X-UD3 Ultra ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,No,[169.99],Yes,Yes
LGA1151,Intel Z170,Yes,Micro ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400,Asus MAXIMUS VIII GENE Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[197.89, 205.99, 196.87, 209.99, 212.98]",Yes,Yes
LGA1151,Intel Z170,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200,ASRock Z170 Pro4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[99.99, 112.99, 120.88, 129.99, 158.99]",Yes,No
LGA1151,Intel H110,No,Mini ITX,Gigabyte,32GB,DDR4-2133,Gigabyte GA-H110N Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[74.99, 90.42]",No,No
LGA1151,Intel Z170,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600 / 3866,ASRock Z170 Extreme3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[104.99, 129.99, 129.99]",Yes,Yes
LGA1151,Intel B250,No,Micro ATX,Asus,32GB,DDR4-2133 / 2400,Asus PRIME B250M-K Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[79.99, 80.0, 80.0, 80.0, 90.74]",No,No
LGA1151,Intel Z270,Yes,Micro ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,Asus PRIME Z270M-PLUS Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[149.0, 149.0, 149.99, 156.96, 149.99]",Yes,No
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466,Gigabyte GA-Z170X-GAMING 6 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[174.99, 179.88, 169.99, 213.99]",Yes,Yes
LGA1151,Intel Z270,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600 / 3733 / 3866,ASRock Z270 Extreme4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[149.99],Yes,Yes
