Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
N/A,120GB,,Intel,Intel 535 Series 120GB M.2-2280 Solid State Drive,,$0.72,"[85.99, 87.15]",,Yes,Q3 2014
N/A,60GB,,VisionTek,"VisionTek GoDrive 60GB 2.5"" Solid State Drive",,$0.67,"[40.12, 42.07, 44.99, 74.99]",,Yes,Q4 2002
16MB,640GB,,Western Digital,"Western Digital Caviar Blue 640GB 3.5"" 7200RPM Internal Hard Drive",,$0.14,[86.65],7200,No,Q1 2003
N/A,240GB,,ADATA,"ADATA XPG SX930 240GB 2.5"" Solid State Drive",,$0.42,[92.68],,Yes,Q1 2010
128MB,2TB,,Seagate,"Seagate 2TB 2.5"" 7200RPM Internal Hard Drive",,$0.15,"[299.0, 319.99, 319.99, 329.99]",7200,No,Q3 2002
128MB,6TB,,Seagate,"Seagate 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.034,"[191.62, 249.99, 249.99]",7200,No,Q3 2012
N/A,120GB,,OCZ,"OCZ TRION 150 120GB 2.5"" Solid State Drive",,$0.46,[54.99],,Yes,Q1 2010
N/A,250GB,,Crucial,Crucial MX200 250GB mSATA Solid State Drive,,$0.36,"[89.98, 99.99, 139.99]",,Yes,Q1 2014
N/A,1TB,,Samsung,Samsung 850 EVO 1TB mSATA Solid State Drive,,$0.31,"[311.98, 312.12, 312.12, 327.88, 347.99, 349.99, 349.99, 349.99, 426.99]",,Yes,Q3 2003
N/A,240GB,,Kingston,Kingston SSDNow G2 240GB M.2-2280 Solid State Drive,,$0.37,"[89.99, 90.99, 94.05, 107.25]",,Yes,Q4 2001
16MB,300GB,,IBM,"IBM 300GB 3.5"" 15000RPM Internal Hard Drive",,$0.17,[45.0],15000,No,Q1 2005
64MB,2TB,,Toshiba,"Toshiba 2TB 3.5"" 5700RPM Internal Hard Drive",,$0.037,"[74.99, 74.99]",5700,No,Q3 2014
N/A,512GB,,Transcend,Transcend MTS800 512GB M.2-2280 Solid State Drive,,$0.41,"[208.99, 208.99, 208.99]",,Yes,Q4 2003
